row,score
3769,7.1644
3940,7.1629
12815,7.1606
4558,7.1554
13408,7.1543
15410,7.1509
15183,7.1325
11351,7.1291
2929,7.1178
15441,7.1161
7775,7.1107
3101,7.1058
5150,7.0998
8555,7.0835
7287,7.0712
4230,7.0673
7694,7.0673
14072,7.0673
15239,7.0673
6568,7.0657
16809,7.0542
10189,7.0192
13962,7.0192
2062,6.9855
7188,6.9747
9814,6.9432
15257,6.941
1395,6.9309
17399,6.9301
9401,6.9143
4684,6.895
6939,6.892
19163,6.8873
14996,6.8869
12303,6.8786
8391,6.8723
5074,6.8715
7167,6.8472
18713,6.8375
15379,6.8127
15376,6.8099
2223,6.8083
11043,6.8065
12809,6.7977
15429,6.7913
14648,6.7893
14281,6.7879
954,6.7731
4105,6.7584
12184,6.7142
5077,6.7094
9497,6.6891
13359,6.6853
15396,6.6652
1957,6.6502
1935,6.6358
12023,6.6232
17550,6.6211
9324,6.6141
5521,6.6137
6565,6.6092
16669,6.6044
12867,6.5995
5755,6.5931
8591,6.5899
10145,6.5895
14867,6.5722
5095,6.5562
12726,6.5548
8047,6.52
5112,6.5109
16653,6.483
10363,6.4646
10121,6.4616
15039,6.4551
7594,6.4213
13829,6.4184
10415,6.409
14896,6.408
3748,6.4068
6400,6.4011
278,6.3918
19151,6.3854
15347,6.3808
6234,6.3719
1730,6.3698
13383,6.3627
14569,6.3423
9818,6.3378
10167,6.3293
10440,6.3293
13570,6.3239
7184,6.322
19187,6.3115
17106,6.3051
3540,6.2981
5544,6.293
14063,6.2901
7152,6.2804
19201,6.2804
1970,6.2713
16466,6.2319
14277,6.2234
9091,6.2232
2818,6.2078
2598,6.193
6227,6.1923
9836,6.1867
5051,6.1807
8922,6.1765
7997,6.1714
1622,6.1581
14994,6.1529
19141,6.1489
16482,6.129
7366,6.1181
13345,6.1096
19161,6.1096
17757,6.1038
11200,6.0923
15369,6.0923
15353,6.0834
10491,6.0804
1782,6.0796
15186,6.0718
6163,6.0708
7451,6.0699
804,6.0647
1020,6.0608
15216,6.0445
7316,6.0294
14064,6.0294
3802,6.0292
2499,6.0251
8783,6.0227
1485,5.963
10378,5.9515
12400,5.9432
7162,5.9377
10682,5.9326
5324,5.9246
3751,5.9178
4093,5.9111
10966,5.9111
9587,5.911
7231,5.9107
10200,5.906
11367,5.9042
1770,5.8998
12211,5.8723
6543,5.8588
5452,5.8523
19149,5.8476
1787,5.8464
6473,5.8431
9833,5.84
4962,5.8374
1854,5.8357
42,5.8308
13207,5.8208
10820,5.8062
14964,5.8058
7459,5.7856
1852,5.7736
9600,5.7594
14818,5.7521
1573,5.7308
15185,5.7308
4620,5.7304
8020,5.7271
10051,5.7202
2267,5.7036
2691,5.7036
7095,5.693
15291,5.6758
8550,5.6755
9989,5.6642
5261,5.6632
4068,5.6538
4437,5.64
15388,5.638
14579,5.6366
10134,5.6361
15230,5.6356
8837,5.6292
726,5.6291
2082,5.6193
1380,5.611
157,5.6061
3987,5.6061
11077,5.5936
2838,5.5929
13596,5.582
275,5.5757
179,5.5746
5017,5.5696
7412,5.5679
2206,5.5589
13721,5.5493
15011,5.5457
14582,5.5339
13538,5.5276
10867,5.5259
1466,5.5122
17794,5.4963
6144,5.4948
10437,5.4849
8722,5.4833
1130,5.475
1964,5.4743
15551,5.4648
2090,5.4616
925,5.4535
9958,5.4488
8003,5.4399
1794,5.4349
10157,5.428
9602,5.4073
6684,5.4032
7939,5.403
15424,5.4013
10337,5.3999
6536,5.394
2893,5.3897
13211,5.3857
14087,5.3808
14755,5.3742
1899,5.3726
19398,5.3726
8157,5.3706
6584,5.3648
309,5.3629
6448,5.3629
14799,5.3503
1780,5.3467
4725,5.3445
2260,5.3422
15175,5.3371
3274,5.3289
12871,5.3182
17429,5.3128
12318,5.3077
18136,5.3018
19005,5.3003
19140,5.298
9381,5.2856
8947,5.2806
4352,5.2789
4996,5.2667
3022,5.2652
7794,5.2646
10841,5.2625
15197,5.2615
9746,5.261
12207,5.261
13073,5.261
7947,5.2543
9871,5.2509
6066,5.2472
9698,5.2472
9781,5.2472
15085,5.2472
5244,5.2399
15219,5.2269
15372,5.2181
15448,5.2114
17273,5.2094
9691,5.2064
17167,5.1874
4783,5.1868
15393,5.1837
15442,5.1826
11642,5.1801
6556,5.1744
10667,5.1689
8113,5.1677
10406,5.1652
10671,5.1652
13426,5.1652
10428,5.1558
2992,5.1538
9764,5.1518
6716,5.1493
15040,5.1464
15406,5.1464
1584,5.1434
8068,5.1411
12323,5.14
9398,5.127
5047,5.1239
6244,5.1239
1414,5.122
2781,5.1177
18443,5.1135
9951,5.1093
13353,5.1093
12636,5.1024
14976,5.091
10620,5.0779
14651,5.075
476,5.0683
4203,5.0625
15405,5.0547
7251,5.0509
11040,5.0473
9831,5.047
6851,5.0445
7190,5.036
8941,5.03
8730,5.0264
13845,5.023
9389,5.0189
8950,5.0124
18702,5.0106
15368,5.0095
18011,5.0063
3851,4.9993
15431,4.9924
3063,4.9909
9699,4.9906
1966,4.9889
5716,4.9802
9929,4.9802
4227,4.9785
4807,4.9745
13474,4.9672
5539,4.9558
15238,4.9538
13091,4.9488
10421,4.9448
10169,4.9425
7589,4.9287
18731,4.9271
8937,4.9173
9936,4.906
15053,4.906
7878,4.9045
12182,4.9034
15411,4.8976
5562,4.8939
1337,4.8916
3823,4.8909
17793,4.8739
3150,4.8698
11218,4.8629
7139,4.8462
4253,4.8391
14789,4.8391
6843,4.8376
4255,4.8179
16738,4.8168
10822,4.8167
3280,4.8143
9311,4.8115
6098,4.8092
8107,4.8082
13048,4.8037
609,4.7932
14616,4.79
109,4.784
9966,4.7819
4966,4.7782
4299,4.7687
16629,4.7687
15129,4.752
18116,4.7517
8703,4.7466
14650,4.7399
4252,4.738
5072,4.7332
2812,4.7284
14856,4.7284
12825,4.7261
2725,4.717
755,4.7146
9179,4.7102
4338,4.7099
9140,4.7026
14868,4.7026
7143,4.7022
4176,4.7021
15387,4.6948
14989,4.6871
6241,4.6796
9998,4.6793
10627,4.6793
10050,4.6761
15386,4.6689
11869,4.6639
16235,4.6639
15266,4.6596
4887,4.6508
10586,4.6504
13336,4.6412
5490,4.641
10554,4.6335
6346,4.6312
11805,4.6301
15671,4.6215
7265,4.6184
13942,4.6184
5591,4.6117
19700,4.6076
14386,4.6061
15437,4.6034
11741,4.6031
19132,4.5965
5329,4.5937
4409,4.5929
16589,4.5855
10170,4.5811
10231,4.5787
15315,4.5683
6497,4.5646
15325,4.5544
15017,4.5462
17347,4.5458
6538,4.5448
10676,4.5444
10124,4.5421
10287,4.539
10733,4.536
10165,4.5298
15364,4.5298
19247,4.5179
13360,4.5176
2078,4.5167
1457,4.516
15404,4.5154
15362,4.5028
1925,4.4951
12183,4.494
8269,4.4933
6529,4.4884
18860,4.4884
8734,4.4857
14961,4.4816
5021,4.4763
6326,4.4707
10617,4.4693
7578,4.4608
5175,4.4586
14531,4.4574
15226,4.4574
10246,4.4535
5223,4.4499
10179,4.4456
10278,4.4456
10392,4.4456
15173,4.4456
9484,4.4308
15397,4.4308
3530,4.426
15447,4.4238
12332,4.4232
12131,4.4158
11545,4.4141
10612,4.4104
15214,4.4104
11618,4.4056
9210,4.4009
2345,4.3989
1537,4.3986
11835,4.3964
19068,4.3954
19173,4.3954
18213,4.3927
1416,4.3908
12503,4.3908
8974,4.3896
10645,4.3873
2630,4.3846
10715,4.3846
700,4.3827
10996,4.3758
13802,4.3758
9964,4.3711
6730,4.3696
10083,4.3693
8898,4.3559
12359,4.3552
15389,4.3492
277,4.3459
4213,4.3454
1699,4.3417
7196,4.338
15436,4.3359
12049,4.3356
13013,4.331
14973,4.331
8541,4.3305
13227,4.3293
7142,4.3159
7920,4.3159
15265,4.3155
17780,4.3062
3300,4.3047
3295,4.3044
6777,4.3044
14272,4.303
15322,4.3024
5503,4.2955
10232,4.2835
3171,4.2787
4164,4.2771
8686,4.2752
9546,4.2752
6370,4.2704
11490,4.2665
8551,4.2615
9832,4.2534
4473,4.2497
11378,4.2487
5279,4.2417
12325,4.2404
4522,4.2393
5875,4.2299
14853,4.2212
6324,4.221
11467,4.2151
12138,4.2135
6237,4.2112
13035,4.2112
5108,4.2102
5039,4.2024
9310,4.201
4087,4.1948
11756,4.1927
8521,4.1902
14678,4.1902
13338,4.1895
4458,4.1869
12520,4.1744
5855,4.1728
5227,4.1714
9461,4.1689
10575,4.1687
5136,4.1663
11064,4.1656
11664,4.1656
5363,4.1579
10048,4.1579
15390,4.1579
18886,4.1518
10396,4.148
11333,4.1413
6192,4.1334
17184,4.1292
10492,4.1275
13150,4.1257
4095,4.1204
17242,4.1204
4704,4.1193
9937,4.1172
3326,4.1135
7358,4.1115
16034,4.1115
8204,4.111
5111,4.1109
6372,4.1073
10404,4.1073
10665,4.1073
9321,4.1053
10626,4.1053
3324,4.1026
6756,4.0941
17521,4.0938
11036,4.0935
8954,4.0919
1761,4.0914
10815,4.0872
15245,4.086
13185,4.0851
16266,4.0764
7655,4.0735
1956,4.0685
8971,4.0684
3160,4.0673
10598,4.0673
10314,4.0583
11185,4.0583
10320,4.0575
15147,4.0575
5537,4.057
8906,4.0568
14610,4.0562
5277,4.0521
7610,4.0431
12129,4.0394
8808,4.0379
11387,4.0352
13731,4.0237
4221,4.0223
2080,4.0216
6413,4.0198
14466,4.0185
5034,4.0162
11797,4.0162
7120,4.0124
1435,4.0051
5229,4.002
10260,4.001
13939,4.001
14805,3.9996
10697,3.9993
9665,3.9897
3760,3.9872
5280,3.981
15287,3.979
14747,3.9786
14975,3.9786
13574,3.9771
7937,3.9745
15032,3.9729
10122,3.9708
500,3.9676
8976,3.9675
7936,3.9663
11876,3.9663
8552,3.961
7228,3.9564
7685,3.9564
14851,3.9564
15377,3.9549
9673,3.952
10614,3.952
2651,3.947
15456,3.9435
10010,3.9417
18417,3.9417
3539,3.9369
872,3.9344
13436,3.9344
6209,3.9335
10413,3.9335
3808,3.9258
10183,3.9242
5178,3.919
7524,3.9169
9801,3.9167
13533,3.9127
15016,3.9127
5109,3.9122
11294,3.9116
15205,3.9019
4189,3.9014
1684,3.8968
5500,3.8935
14734,3.8912
8488,3.8878
15043,3.8878
8543,3.8806
15047,3.8806
15278,3.8806
10771,3.8739
15360,3.87
10849,3.8698
13199,3.8698
10249,3.8595
13981,3.8595
14559,3.8595
10009,3.8528
2624,3.8423
12066,3.8386
5368,3.8369
1197,3.8314
10277,3.8282
15149,3.8282
3648,3.82
5032,3.8199
5035,3.8199
6695,3.8173
3411,3.8135
4888,3.8135
2143,3.8114
8561,3.8113
7064,3.8076
8933,3.8076
10030,3.7995
8100,3.7949
3810,3.7929
8,3.7909
16896,3.7905
5005,3.788
7248,3.7873
10835,3.7873
6673,3.7839
4550,3.7823
7194,3.7817
8429,3.7779
11588,3.7772
3296,3.7744
13780,3.7738
2887,3.7672
10390,3.7672
10414,3.7672
15403,3.7659
1594,3.7644
8030,3.7644
10638,3.763
19179,3.763
4959,3.7629
8523,3.7572
8923,3.7572
10082,3.7572
12850,3.7572
15155,3.7568
13057,3.7556
9375,3.7488
7149,3.7473
13891,3.7409
8927,3.74
9996,3.74
7192,3.738
10261,3.7374
681,3.7276
9911,3.7276
14987,3.7276
18420,3.7263
13238,3.7234
13813,3.7234
18874,3.719
11519,3.7178
11675,3.7178
15648,3.7178
1322,3.7096
15094,3.7081
13653,3.7046
6757,3.703
15391,3.7019
13745,3.6987
12792,3.6984
13500,3.6984
15382,3.6984
6625,3.6951
13375,3.6903
6266,3.6894
1550,3.6888
9456,3.6888
14809,3.6888
7736,3.6832
11772,3.6824
7050,3.6792
15356,3.6792
1606,3.6768
1418,3.6758
10164,3.6663
4239,3.662
16267,3.662
2765,3.6612
8071,3.6583
7315,3.6516
15373,3.6508
13228,3.6503
4980,3.6459
14968,3.6455
11822,3.6448
10321,3.6429
10290,3.6414
11416,3.6414
17337,3.641
6240,3.6341
11358,3.6321
13191,3.6321
14941,3.6321
270,3.6265
626,3.6262
4982,3.6203
5152,3.6203
15006,3.6187
5263,3.6135
2224,3.6123
10332,3.6044
10971,3.6044
9804,3.6031
2220,3.5986
8925,3.5952
10322,3.5952
12190,3.5952
5553,3.5917
8729,3.5877
11183,3.5877
9081,3.5861
10349,3.5861
10142,3.58
15012,3.5771
6193,3.5731
6245,3.5731
265,3.5723
1686,3.5723
11075,3.5681
14782,3.5681
15272,3.5681
16246,3.5674
7579,3.5596
6662,3.5502
11680,3.5502
2766,3.5462
14534,3.5414
7861,3.5398
3521,3.5384
4169,3.5332
11814,3.5325
15250,3.5325
9755,3.5318
3627,3.5286
5556,3.5237
15200,3.5237
5661,3.5073
2523,3.5063
10398,3.5063
15273,3.5063
15132,3.4904
11055,3.4891
15232,3.4891
19313,3.4891
2806,3.4805
7605,3.4778
3190,3.469
10434,3.4687
7704,3.4627
17257,3.4565
15354,3.4551
2720,3.4497
15374,3.4472
475,3.4467
4709,3.444
9331,3.4383
11849,3.4383
9860,3.4378
15194,3.4331
4871,3.4324
5648,3.4316
8433,3.43
2435,3.4289
3932,3.4217
17243,3.4217
10873,3.4193
15279,3.419
5461,3.4181
5991,3.4135
8998,3.4135
12212,3.4135
12441,3.4135
3087,3.4121
13506,3.4053
220,3.4051
12493,3.4051
13855,3.4051
10497,3.3971
11871,3.3971
13206,3.395
5173,3.3913
15177,3.3913
7246,3.3827
3784,3.3761
5273,3.3711
5184,3.3678
12418,3.3649
2287,3.3553
8911,3.3506
12396,3.349
11105,3.3479
6850,3.3474
937,3.3439
15061,3.3332
10146,3.3306
5269,3.3299
1821,3.3254
11065,3.3254
5896,3.3253
10280,3.324
11195,3.324
12031,3.3176
15208,3.3099
7903,3.2977
2890,3.2945
10129,3.2945
10838,3.2897
4895,3.288
2256,3.2784
6169,3.2737
7283,3.2717
9945,3.2717
14341,3.2717
10649,3.2672
15757,3.2642
10755,3.2567
13920,3.2567
10401,3.2529
9604,3.2492
14631,3.2403
10288,3.2371
5228,3.2363
