word,count
comentar,190
local,189
trocar,189
pessoal,189
licitação,189
ligação,189
seis,187
pois,187
identificar,187
tentativa,187
fachin,187
calheiros,187
apartamento,187
beneficiar,186
repassar,186
tão,186
único,185
condição,185
manifestação,184
entender,184
favor,183
trazer,182
crítica,182
respeito,182
voto,180
verdade,179
tcu,179
14,178
19,178
abertura,178
contato,178
origem,178
ganhar,177
associação,176
publicar,176
ministros,176
representar,175
dono,174
renato,174
maio,173
filme,172
gerar,172
família,172
16,171
atividade,171
11,170
perder,170
23,170
uso,169
reconhecer,168
abril,168
programa,167
buscar,167
multa,167
deter,167
impedir,166
movimento,166
lá,166
juíz,166
receita,166
ativo,166
bancário,166
especial,166
dias,165
mello,165
causar,165
collor,165
contratar,164
oficial,164
segurança,164
firmar,164
mpf,164
sustentar,164
junho,163
espécie,163
foro,163
privilegiar,163
schahin,163
solicitar,162
agosto,162
acompanhar,162
ilegal,162
elemento,162
conteúdo,162
setembro,161
embora,161
diante,161
anterior,161
amaral,161
admitir,160
rede,160
administrativo,160
imóvel,160
questionar,160
integrar,159
administração,159
22,159
demais,158
atingir,158
força,158
oferecer,158
santana,158
sete,158
magistrar,157
controle,157
cujo,157
jorge,157
planalto,157
conhecimento,157
ocupar,156
central,156
fevereiro,156
explicar,156
lobista,156
referência,155
futuro,155
julho,155
contrário,155
liberdade,155
plano,155
25,154
maria,154
virar,154
lançar,154
análise,154
justificar,154
ferreira,154
regra,153
regime,153
material,153
indicação,152
sentença,152
noite,152
combater,152
deflagrar,152
cartel,152
motivo,152
procedimento,152
benefício,151
opinião,151
vídeo,151
custo,151
discurso,150
18,150
estadual,150
livro,150
argumentar,149
argumento,149
bernardo,149
membro,148
âmbito,148
neves,148
vários,147
vantagem,147
gravação,147
ambos,147
interno,147
curso,146
conforme,146
prefeito,146
pretender,146
comunicação,146
saúde,146
50,146
caminho,145
17,145
constituição,145
conto,145
tucano,145
conduzir,144
capital,144
efeito,144
repasse,144
dívida,144
abuso,143
estados,143
domingo,143
certo,143
política,143
soares,143
oito,142
desviar,142
terceiro,142
contas,142
barusco,142
função,141
petrobra,141
consórcio,140
coercitivo,140
debate,140
assessor,140
apreensão,140
planejamento,140
economia,139
linha,139
utilizar,139
sessão,138
institucional,138
versão,138
pressão,138
13,137
empréstimo,136
destinar,136
real,136
quarto,136
pr,136
técnico,135
maioria,135
alguém,135
dado,135
viver,135
presente,135
sentido,135
engevix,135
financiamento,134
quarta,134
marcar,134
maneira,134
dezembro,134
moura,134
descobrir,134
morte,134
rua,133
pública,133
causa,133
