entity,count
Corinthians,12
Precisamos,12
PGR República,12
Argentina,12
Divisão,12
Eunício,12
Caixa Econômica Federal,12
Edison Lobão,12
Dias Toffoli,12
Humberto Costa,12
Polícia Federal Ministério Público Federal,12
China,12
Fernando Bezerra,12
PSOL,12
Barbosa,12
Lula Marisa,12
Zwi Skornicki,12
Skornicki,12
Serviços Petrobras,12
TCU Tribunal Contas,12
Argolo,12
Cenpes,12
Mato Grosso Sul,12
Jaques Wagner,12
José Eduardo Cardozo Justiça,12
Bolsonaro,11
Ricardo Lewandowski,11
Wagner,11
Pinto,11
Curitiba PR,11
Luiz Eduardo Oliveira Silva,11
Dilma Lula,11
Facebook,11
MPF Ministério Público Federal,11
Temer,11
Minas,11
Câmara Rodrigo Maia,11
Mossack Fonseca,11
Congresso,11
Lei,11
Salvador,11
Operação Lava Jato Polícia Federal,11
Partido,11
Ministério Público Federal Paraná,11
José Eduardo Cardozo,11
Denúncia,11
Câmara Deputados Eduardo Cunha,11
Legislativo,11
Ceará,11
Justiça Alexandre Moraes,11
Investigadores,11
Joaquim Barbosa,11
Martins,11
Padilha,11
Margotto,11
Mario Goes,11
Hong Kong,11
Solaris,11
Luiz Sérgio,11
Labogen,11
Mensalão,10
Marina,10
Raquel Dodge,10
Escritório,10
Fernando Moura,10
Edinho Silva,10
Adir,10
Lula Dilma,10
Operação Custo Brasil,10
Joesley Batista,10
Belo Horizonte,10
Londrina,10
Petrobras Nestor Cerveró,10
Imposto,10
Henrique Eduardo Alves,10
Operação Lava Jato Curitiba,10
Jato,10
Operação Lava Jato Paraná,10
Setor Operações Estruturadas,10
Principal,10
Wiecko,10
Constituição,10
Democracia,10
Odebrecht OAS,10
juíz,10
Turma,10
Rodrigo Maia,10
Tipo MP,10
Cidade Administrativa,10
Roraima,10
Aécio Neves MG,10
PT PMDB,10
Jornal Nacional,10
Santa Catarina,10
Faerman,10
Belo Monte,10
Polícia Federal Ministério Público,10
CNJ,10
Borghi Lowe,10
Queiroz,10
Aníbal,10
WTorrer,10
Cleto,10
Relator Lava Jato STF,10
Ministério Saúde,10
Procuradoria Geral,10
Constran,10
Ministério Público Federal Polícia Federal,10
Pepper,10
Edson Ribeiro,10
CARLOS FERNANDO,10
Arxo,10
Bretas,9
Rio janeiro,9
Luiz Carlos Bezerra,9
Tribunal Regional Federal,9
Diário Oficial,9
História,9
Supremo Tribunal Federal Ricardo Lewandowski,9
Superior Tribunal,9
Custo Brasil,9
Oliveira,9
Kalil,9
Dilma Rousseff PT,9
pernambuco,9
habea corpus,9
Eunício Oliveira,9
José Sarney PMDB,9
Americana,9
Twitter,9
Conselho Nacional Ministério Público,9
Plano,9
LAVA JATO,9
Alexandre Moraes,9
Serra,9
Branislav Kontic,9
Léo Pinheiro OAS,9
STJ Superior Tribunal,9
Estado,9
Roberto Teixeira,9
Alexandrino Alencar,9
América Latina,9
Esplanada,9
Ouça,9
Vou,9
Teori Zavaski,9
Lewandowski,9
Paulo Geraldo Alckmin,9
Internacional Petrobras,9
Pernambuco,9
PGR Procuradoria Geral República,9
Londres,9
Semiaberto,9
Público,9
Operação Mãos Limpas,9
Galvão Engenharia,9
Banco Rural,9
Márcio Anselmo,9
Argello,9
Andrade,9
CPIs,9
Eduardo Fonte,9
Toyo Setal,9
Caixa Econômica Federal Ministério Saúde,9
Francisco Falcão,9
Mendonça,9
Delgado,9
Petrobras Cunha,9
Transener,9
BTG,9
Soares,9
Rio Bonito RJ,9
Chater,9
Rio Sérgio Cabral,8
Adriana Ancelmo,8
Carlos Emanuel Miranda,8
Pozzobon,8
Miller,8
Municipal,8
Roberto Podval,8
Igor Romário,8
Lula Dilma Rousseff,8
Guido Mantega,8
Carvalho,8
BC,8
IstoÉ,8
PTB,8
Valdir Raupp,8
Lobista,8
PSD,8
Lula PT,8
Lisboa,8
Lava Jato Rio,8
República Carlos Fernando Santos Lima,8
Banco Schahin,8
Recife,8
Europa,8
Godinho,8
Internacional,8
Petrobras Renato Duque,8
Tribunal Contas,8
Miami,8
Vara,8
Palácio,8
Arns,8
Ordem Advogados Brasil,8
MBL,8
Centro,8
Federal,8
José Roberto Batochio,8
Superior Tribunal Justiça,8
Serviços,8
Paraty,8
Vara Federal Curitiba,8
Poder Executivo,8
Shinko,8
PF Paulo,8
Imposto Renda,8
Abastecimento Petrobras Paulo,8
Leite,8
Petrobras Pedro Barusco,8
Chambinho,8
Figueiredo Basto,8
Basto,8
Adir Assad,8
Ferraz,8
Gabinete,8
OSX,8
Michel,8
Samsung,8
Pieruccini,8
João Claudio Genu,8
Othon Luiz Pinheiro Silva,8
Pixuleco,8
Gabas,8
Odebrecht Andrade Gutierrez,8
Mariz,8
Grupo Schahin,8
Diário Grande ABC,8
Astra,8
Roma,8
Oi,8
Antonio Anastasia,8
Museu Oscar Niemeyer Curitiba,8
Braspor,8
Goes,8
Goergen,8
Luiz Inácio Lula Silva PT,7
Newton Ishii,7
Paulo Maluf,7
Maluf,7
Funaro,7
Palácio Jaburu,7
Washington,7
Sérgio Cabral PMDB,7
LADO Folha,7
Fiscalização,7
Coaf Conselho Controle Atividades Financeiras,7
Nelma,7
Justiça Ministério Público,7
Polícia Federal Paraná,7
Acho,7
André Gustavo Vieira Silva Antônio Carlos Vieira Silva,7
Justiça Paulo,7
Abreu Lima,7
Dias,7
Tribunal contas,7
PSB,7
João Santana Mônica Moura,7
Cândido,7
Alves,7
Maranhão,7
Goiás,7
Associação Nacional Procuradores,7
Onyx Lorenzoni,7
Venezuela,7
Departamento Justiça,7
Polícia,7
Gilmar Mendes STF,7
Museu Oscar Niemeyer,7
União,7
Diogo Castor Mattos,7
Atos,7
Constituição Federal,7
Benin,7
Claudia Cruz,7
Aécio Neves PSDB,7
Braga,7
Kontic,7
Vem,7
Sérgio,7
Vale,7
República Rodrigo Janot,7
ODEBRECHT,7
Fundo Partidário,7
Paraguai,7
Breno Altman,7
Instituto,7
Teori Zavascki STF,7
Questionar,7
Felipe,7
Supremo Tribunal Federal Teori Zavascki,7
Itamaraty,7
André Moura,7
Operação Zelotes,7
Zanin,7
GDK,7
Lúcio Bolonha,7
Danielle,7
Rodrigues,7
Ciro Nogueira PI,7
Bancoop Cooperativa,7
TCU Tribunal Contas União,7
Trombeta Morales,7
Mossack,7
Transparência Internacional,7
STF Supremo Tribunal Federal,7
Berlusconi,7
Ana Pércia,7
Pizzolatti,7
Silvinho,7
Santo André,7
Abastecimento,7
Carlos Fernando Lima,7
STF Ricardo Lewandowski,7
BlackBerry,7
Murray,7
Erton,7
Aline Corrêa,7
Turandot,7
Marinha,7
Afirmar,6
Eduardo Paes,6
Petrobras Renato,6
Marcelo Antunez,6
Busca,6
Dilma Temer,6
Eduardo Cunha PMDB,6
TRF,6
PF Paraná,6
Governo Temer,6
Ministério Público Federal Curitiba,6
Banco Brasil,6
desvio,6
José Antonio Dias Toffoli,6
Gleisi Hoffmann,6
TRF Tribunal Regional Federal 4ª,6
Luz,6
Rio Grande Norte,6
PDT,6
Justiça Federal Paulo,6
Turma STF,6
Prefeitura Paulo,6
Secretaria,6
Corte,6
Comperj Complexo Petroquímico Rio Janeiro,6
RJ,6
Escalão,6
PT Paulo,6
Fernando Haddad,6
Torquato,6
Procurado,6
Lava Jato Odebrecht,6
Lava Jato PF,6
Luiz Flávio Borges,6
José Sarney,6
Espero,6
Teixeira,6
OUTRO LADO,6
Polícia Civil,6
Educação,6
Benin África,6
Cristiano Zanin Martins,6
Medida Provisória,6
Foco,6
Justiça Federal Curitiba,6
Judiciário Ministério Público,6
Acarajé,6
Palácio Alvorada,6
Barroso,6
Emílio,6
Aloysio Nunes Ferreira,6
Acredito,6
Lava Jato Petrobras,6
Alagoas,6
Aloysio Nunes,6
Operação Lava Jato STF,6
Apolo Tubulars,6
receita Federal,6
CCJ,6
Milton Schahin,6
Canadá,6
Uruguai,6
Cade,6
Banestado,6
Ciro Nogueira,6
Arthur Lira,6
Querer,6
Ordem,6
Paulo Roberto Costa Petrobras,6
Árabe,6
Marta,6
puner,6
BNDES Banco Nacional Desenvolvimento Econômico Social,6
Jardim,6
Complexo Médico Penal Pinhais,6
Argôlo,6
DF,6
Mauat,6
Trombeta,6
Associação Nacional Delegados Polícia Federal,6
IML,6
Fábio,6
Luiz Eduardo,6
Kodama,6
Henrique Alves,6
Cunha Fábio,6
Caixa Econômica Federal Conselho,6
Maria Lúcia,6
Kugler,6
Controladoria,6
Batista Sá,6
Luís Carlos,6
Operação Carbono,6
Pixuleko,6
Edinho Silva Comunicação Social,6
Warken,6
Superintendência PF,6
Chaves,6
DVBR,6
Gabrielli,6
Sigilos,6
Hayley,6
Aline,6
Petrobras Samsung Heavy Industries Coreia Sul,6
Gerson Almada,6
Museu,6
Justiço,5
Jair Bolsonaro,5
Tribunal Regional Federal 4ª,5
João Pedro Gebran,5
João Pedro Gebran Neto,5
Japonês Federal,5
Comperj,5
Lopes,5
República Raquel Dodge,5
Haverá,5
Eike,5
Flamengo,5
Ribeiro Dantas,5
Caberá,5
Muita,5
Tribunal Regional Federal 4ª Região,5
Mulher,5
Paulo Bueno,5
DELAÇÕES,5
réu Lava Jato,5
Sérgio Guerra,5
Guerra,5
Eduardo Campos PSB,5
Sergio Moro Operação Lava Jato,5
Fernando Pimentel PT,5
Poder Legislativo,5
Poderes,5
Lei Ficha Limpa,5
Carlos Fernando,5
Trabalho,5
Ferraço,5
Vara Justiça Federal Paraná,5
Danilo Medina,5
Sistema,5
Código Processo Penal,5
Mattos,5
Engenharia,5
Sergio Moro Paraná,5
Renato Duque Serviços,5
Cavalcanti,5
Serra Carioca II,5
Randolfe Rodrigues,5
Cássio Cunha Lima,5
Vander Loubet,5
Rio Sérgio Cabral PMDB,5
Minas Energia,5
Boa,5
Operação Mãos,5
habea,5
Antonio Figueiredo Basto,5
Eliseu Padilha Casa Civil,5
Toron,5
Primeira Turma,5
Luiz Fux,5
Giles Azevedo,5
Guarujá litoral,5
presidente Dilma,5
Rodoanel,5
Arrecadação,5
Melo Filho,5
Ministério Fazenda,5
Itaú,5
Canal,5
Autos,5
Paris,5
Dilma Rousseff Luiz Inácio Lula Silva,5
Dalton Avancini,5
Milton Lyra,5
Ricardo,5
Lava Jato Teori Zavascki,5
Santos,5
Procuradores,5
Renan Calheiros AL,5
cabral,5
Castelo Areia,5
Sanctis,5
Marina Silva,5
Interpol,5
Lula Casa Civil,5
Complexo Médico Penal,5
Leonardo,5
Luiz Estevão,5
Operação Lava Jato Supremo Tribunal Federal,5
uFPR,5
Leo Pinheiro,5
Supremo Teori Zavascki,5
PETROBRAS,5
Belo Monte Pará,5
CGU Controladoria Geral,5
ressarcir cofr,5
Legatti,5
Manifesto,5
Teori Zavascki STF Supremo Tribunal Federal,5
Eduardo,5
Serveng,5
Ministério Público Judiciário,5
Lava Jato Lula,5
Roberto Trombeta,5
Rodrigo Morales,5
Miranda,5
Dilma Rousseff 2010,5
Comaroff,5
Petrobras África,5
Odebrecht Alexandrino Alencar,5
Cúpula PMDB,5
Eduardo Campos,5
Zeca Dirceu,5
Fazenda Guido Mantega,5
Grupo Odebrecht,5
Ficar,5
Dilma Rousseff 2014,5
Acerto,5
Carlos Sampaio,5
Fábio Medina Osório,5
Roberto,5
BBC Brasil,5
Lava Jato Supremo Teori Zavascki,5
Petrobras Ministério Público Federal,5
Maurício Bumlai,5
Paulo Curitiba,5
Odebrecht Marcelo Odebrecht,5
Chahin,5
Marena,5
Comunidade,5
Schmidt,5
Lucas Amorim Alves,5
Romero Jucá José Sarney,5
Ministério Público Suíça,5
Romero Jucá Planejamento,5
Globo,5
Antonio Claudio Mariz Oliveira,5
Picciani,5
Construtora Norberto,5
informar PGR totalizar US,5
Gazeta,5
